"Plot Title: Temp1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21022943, SEN S/N: 21022943)","Intensity, lum/ft² (LGR S/N: 21022943, SEN S/N: 21022943)","Coupler Attached (LGR S/N: 21022943)","Coupler Detached (LGR S/N: 21022943)","End Of File (LGR S/N: 21022943)"
382,11/23/2021 10:12:21 AM,35.951,0.0,,,
383,11/23/2021 12:12:21 PM,36.145,0.0,,,
384,11/23/2021 02:12:21 PM,36.723,0.0,,,
385,11/23/2021 04:12:21 PM,38.061,0.0,,,
386,11/23/2021 06:12:21 PM,39.384,0.0,,,
387,11/23/2021 08:12:21 PM,39.947,0.0,,,
388,11/23/2021 10:12:21 PM,39.947,0.0,,,
389,11/24/2021 12:12:21 AM,39.573,0.0,,,
390,11/24/2021 02:12:21 AM,39.007,0.0,,,
391,11/24/2021 04:12:21 AM,38.629,0.0,,,
392,11/24/2021 06:12:21 AM,38.440,0.0,,,
393,11/24/2021 08:12:21 AM,38.440,0.0,,,
394,11/24/2021 10:12:21 AM,38.440,0.0,,,
395,11/24/2021 12:12:21 PM,38.440,0.0,,,
396,11/24/2021 02:12:21 PM,38.440,0.0,,,
397,11/24/2021 04:12:21 PM,38.440,0.0,,,
398,11/24/2021 06:12:21 PM,38.440,0.0,,,
399,11/24/2021 08:12:21 PM,38.250,0.0,,,
400,11/24/2021 10:12:21 PM,37.679,0.0,,,
401,11/25/2021 12:12:21 AM,37.107,0.0,,,
402,11/25/2021 02:12:21 AM,36.531,0.0,,,
403,11/25/2021 04:12:21 AM,35.951,0.0,,,
404,11/25/2021 06:12:21 AM,35.370,0.0,,,
405,11/25/2021 08:12:21 AM,34.981,0.0,,,
406,11/25/2021 10:12:21 AM,34.198,0.0,,,
407,11/25/2021 12:12:21 PM,34.002,0.0,,,
408,11/25/2021 02:12:21 PM,34.198,0.0,,,
409,11/25/2021 04:12:21 PM,34.786,0.0,,,
410,11/25/2021 06:12:21 PM,35.370,0.0,,,
411,11/25/2021 08:12:21 PM,35.370,0.0,,,
412,11/25/2021 10:12:21 PM,35.175,0.0,,,
413,11/26/2021 12:12:21 AM,34.590,0.0,,,
414,11/26/2021 02:12:21 AM,34.002,0.0,,,
415,11/26/2021 04:12:21 AM,33.411,0.0,,,
416,11/26/2021 06:12:21 AM,33.213,0.0,,,
417,11/26/2021 08:12:21 AM,33.213,0.0,,,
418,11/26/2021 10:12:21 AM,33.213,0.0,,,
419,11/26/2021 12:12:21 PM,33.213,0.0,,,
